District,Year,Season,Crop,Land Area (ha),Rainfall (mm),Temperature (°C),Humidity (%),Irrigation (%),Fertilizer Usage (kg/ha),Yield (t/ha)
Guntur,2021,Rabi,Sugarcane,7756.82,1072.89,31.18,67.76,31.18,155.55,1.14
Chittoor,2021,Kharif,Groundnut,1333.4,418.52,27.91,81.95,45.67,149.6,1.08
West Godavari,2024,Kharif,Cotton,8072.97,1547.97,31.67,81.3,82.56,185.8,4.75
Kurnool,2024,Kharif,Cotton,5360.82,1122.79,28.55,73.48,92.97,88.06,3.12
Visakhapatnam,2023,Rabi,Chili,8376.31,1454.5,30.07,80.29,37.68,82.66,1.43
Chittoor,2021,Kharif,Chili,5449.16,617.53,32.55,86.72,44.73,130.23,1.15
Guntur,2021,Rabi,Groundnut,2634.96,1010.76,32.66,61.47,54.81,111.71,2.41
Kurnool,2020,Rabi,Chili,7086.01,608.95,36.82,60.37,47.61,171.75,1.29
West Godavari,2023,Rabi,Rice,4392.94,1766.43,33.95,80.63,93.75,140.45,4.01
Nellore,2023,Kharif,Sugarcane,3434.18,628.66,29.3,72.9,77.48,165.46,3.14
Guntur,2020,Kharif,Pulses,8471.0,1022.84,33.56,80.43,50.33,85.88,1.25
Guntur,2020,Kharif,Chili,9028.49,1364.95,26.37,81.38,46.05,149.62,1.41
Anantapur,2022,Kharif,Rice,630.57,704.57,31.78,63.5,96.4,166.94,1.26
Kadapa,2023,Kharif,Maize,7173.69,767.9,36.54,62.13,89.98,108.17,1.56
Visakhapatnam,2023,Kharif,Rice,6783.36,1310.97,31.51,64.09,45.55,102.12,1.21
Anantapur,2020,Kharif,Cotton,3090.03,480.62,33.83,85.16,38.67,198.32,0.46
Nellore,2020,Kharif,Tobacco,6424.7,660.58,35.63,84.1,58.13,179.8,1.92
East Godavari,2024,Rabi,Groundnut,9190.07,1891.6,27.28,59.68,96.38,193.92,6.56
Prakasam,2023,Rabi,Rice,3981.53,934.45,29.95,76.7,73.52,95.44,2.0
West Godavari,2021,Kharif,Rice,7283.0,1119.78,25.39,76.32,64.49,96.3,2.55
Kadapa,2023,Kharif,Groundnut,564.81,978.0,34.55,71.21,86.0,102.47,2.06
Visakhapatnam,2023,Kharif,Pulses,727.59,1400.46,30.33,87.68,89.4,159.87,4.0
Anantapur,2024,Rabi,Tobacco,8315.38,658.26,37.75,50.98,38.1,111.78,0.85
Visakhapatnam,2024,Rabi,Tobacco,7360.17,1239.4,25.3,52.35,78.78,187.45,2.24
Prakasam,2020,Rabi,Pulses,8149.48,677.09,33.92,55.0,70.07,177.78,1.17
Kurnool,2021,Rabi,Tobacco,3203.16,879.5,31.65,81.96,65.09,151.46,1.79
Visakhapatnam,2021,Rabi,Maize,6626.42,849.63,33.79,74.5,58.19,187.75,1.8
Anantapur,2020,Rabi,Sugarcane,8091.9,563.04,31.28,59.54,53.14,116.26,0.57
East Godavari,2023,Kharif,Chili,2050.65,1490.96,29.55,80.15,56.06,177.63,2.29
Kadapa,2021,Kharif,Cotton,8823.35,516.98,32.72,71.39,51.2,177.59,1.29
West Godavari,2021,Kharif,Rice,6090.14,1656.75,24.6,77.17,40.96,168.01,1.86
West Godavari,2024,Rabi,Tobacco,4138.13,1216.07,24.46,66.23,50.85,185.57,2.34
Chittoor,2020,Kharif,Pulses,6626.35,667.0,34.58,51.02,33.1,98.82,0.92
Visakhapatnam,2023,Rabi,Sugarcane,7793.61,813.21,24.27,77.77,64.1,193.32,2.31
Vizianagaram,2021,Kharif,Groundnut,9315.56,1207.32,32.33,83.03,37.96,108.6,1.64
Kadapa,2021,Kharif,Sugarcane,6831.6,608.83,34.62,51.9,77.77,145.89,1.45
Krishna,2023,Kharif,Chili,3276.22,1289.88,26.77,73.0,98.71,152.32,5.23
Kadapa,2021,Kharif,Sugarcane,2149.49,841.8,27.4,61.14,73.98,148.21,1.05
Srikakulam,2023,Rabi,Sugarcane,6903.01,1132.22,25.05,61.24,78.22,123.34,3.96
West Godavari,2021,Rabi,Cotton,6249.19,1042.99,24.2,75.68,62.2,146.02,3.1
Anantapur,2022,Kharif,Pulses,8137.32,630.25,29.82,75.32,37.56,114.17,0.34
Srikakulam,2024,Rabi,Chili,694.85,1574.64,25.13,57.97,88.73,118.26,5.03
Srikakulam,2023,Rabi,Cotton,4622.77,1043.87,25.29,78.15,84.12,109.35,3.32
West Godavari,2022,Rabi,Pulses,8662.47,1035.09,27.11,61.0,95.18,87.26,5.09
Kurnool,2022,Kharif,Maize,1008.34,834.7,33.22,69.58,30.71,151.71,0.58
Chittoor,2020,Rabi,Rice,9322.3,628.77,28.66,60.9,41.86,98.38,1.24
West Godavari,2023,Rabi,Cotton,5054.74,1571.22,33.65,69.83,44.82,97.74,1.76
Kurnool,2020,Kharif,Chili,1360.77,617.24,31.06,85.37,95.64,170.03,1.9
Anantapur,2021,Kharif,Cotton,1613.65,730.56,37.25,83.46,74.27,165.18,1.68
Kurnool,2024,Kharif,Cotton,2402.11,690.52,27.05,88.57,38.36,191.88,1.24
Kadapa,2021,Rabi,Sugarcane,9382.44,714.46,31.88,62.63,41.97,183.8,1.03
Nellore,2023,Rabi,Tobacco,4991.0,880.64,29.29,72.2,86.0,151.43,1.97
West Godavari,2020,Kharif,Pulses,6646.07,1635.75,33.97,75.99,36.13,123.48,1.69
Krishna,2024,Kharif,Chili,4616.62,1262.5,30.93,68.14,30.64,88.38,1.17
Kadapa,2024,Kharif,Tobacco,2723.39,905.2,32.04,56.0,44.68,82.82,1.21
Vizianagaram,2021,Kharif,Chili,9279.65,1439.84,26.29,58.66,55.78,169.14,1.6
West Godavari,2024,Kharif,Maize,2376.83,1534.79,33.4,73.39,97.24,94.4,4.39
Vizianagaram,2023,Rabi,Sugarcane,7076.73,1349.99,28.44,88.51,94.36,139.91,2.8
Kadapa,2024,Kharif,Maize,901.76,998.92,31.05,58.17,75.53,134.07,1.33
Prakasam,2022,Kharif,Cotton,4989.28,901.64,33.45,87.98,48.93,107.15,1.25
Kadapa,2023,Rabi,Sugarcane,6631.92,549.26,27.01,63.96,78.93,140.77,2.16
Kurnool,2021,Kharif,Rice,4917.78,1037.64,35.66,70.7,70.49,102.67,0.86
Visakhapatnam,2023,Kharif,Cotton,762.84,1086.65,25.83,51.85,69.3,133.71,2.43
Guntur,2020,Rabi,Cotton,7369.61,1332.14,30.75,81.33,30.28,193.3,0.97
Nellore,2023,Rabi,Maize,4835.88,722.88,34.93,75.74,31.98,137.36,1.41
Prakasam,2022,Rabi,Maize,8357.79,991.04,32.41,88.84,94.12,193.65,1.77
Visakhapatnam,2021,Kharif,Maize,3047.7,1312.2,32.7,71.48,91.95,170.39,3.33
Chittoor,2024,Kharif,Pulses,7454.54,773.96,35.71,57.1,66.9,146.72,2.3
Nellore,2022,Rabi,Rice,1913.29,624.47,27.73,61.65,64.54,122.79,2.78
Visakhapatnam,2021,Kharif,Rice,8564.27,1274.73,33.75,66.12,92.9,95.85,4.11
West Godavari,2023,Kharif,Pulses,1816.53,1243.06,25.63,66.07,86.72,136.33,4.33
Chittoor,2023,Kharif,Rice,3018.63,456.27,29.08,71.29,64.15,110.52,0.88
Guntur,2021,Rabi,Chili,3463.0,1280.57,30.92,79.95,70.91,80.24,2.86
Vizianagaram,2021,Rabi,Groundnut,1705.82,1199.19,28.71,57.52,32.89,167.68,0.79
Prakasam,2020,Kharif,Chili,5726.78,803.19,32.82,66.23,36.88,89.85,0.52
Kadapa,2020,Rabi,Pulses,8109.01,790.52,36.57,83.31,49.36,186.0,1.35
Anantapur,2020,Kharif,Chili,3179.41,395.82,29.47,83.88,66.05,119.37,1.3
Kadapa,2022,Kharif,Cotton,6751.92,760.35,30.32,51.97,47.53,159.77,0.55
Vizianagaram,2021,Kharif,Chili,3813.77,869.15,29.89,64.35,86.66,97.57,3.57
Prakasam,2021,Rabi,Rice,713.87,991.27,31.12,67.56,42.03,178.08,1.05
Srikakulam,2021,Rabi,Rice,3824.49,1644.4,26.72,56.69,71.88,113.7,3.33
West Godavari,2023,Kharif,Chili,9602.57,1213.2,24.03,69.08,64.98,132.09,3.41
Chittoor,2022,Rabi,Pulses,9261.58,620.72,36.03,52.63,58.13,172.31,0.92
Visakhapatnam,2021,Rabi,Tobacco,883.37,925.36,32.28,69.33,32.75,177.7,0.98
Guntur,2022,Rabi,Rice,4825.9,1088.37,33.97,54.32,54.63,150.68,1.53
Chittoor,2023,Rabi,Maize,2240.47,625.58,32.25,88.61,64.02,150.29,1.62
Chittoor,2024,Rabi,Cotton,5640.21,894.81,30.82,88.81,99.55,163.12,1.34
Nellore,2022,Rabi,Rice,8564.59,960.8,32.98,85.7,64.96,126.92,1.72
Vizianagaram,2020,Rabi,Cotton,7983.91,1233.68,27.09,65.26,86.18,90.48,2.16
Krishna,2023,Rabi,Sugarcane,2272.25,1435.41,26.28,69.2,74.33,94.28,3.06
Visakhapatnam,2022,Rabi,Groundnut,8576.14,768.71,31.33,57.67,76.66,111.44,2.1
Nellore,2022,Rabi,Pulses,6813.15,663.74,26.61,86.07,77.68,120.09,1.94
Srikakulam,2022,Kharif,Sugarcane,1018.28,1593.33,32.39,78.92,72.04,92.77,4.15
East Godavari,2023,Kharif,Maize,9075.84,1736.26,24.44,78.7,31.04,99.74,1.7
Chittoor,2024,Rabi,Maize,6098.95,980.02,33.55,50.47,45.19,199.07,0.59
West Godavari,2021,Rabi,Cotton,2273.56,1482.07,32.26,84.46,91.53,82.05,4.86
Vizianagaram,2024,Rabi,Sugarcane,5051.04,1147.98,29.6,87.37,69.9,197.81,1.63
East Godavari,2023,Kharif,Groundnut,5402.26,1976.64,33.88,77.3,51.6,104.25,2.61
Visakhapatnam,2023,Rabi,Cotton,6236.37,1282.37,28.24,88.24,63.54,191.47,1.9
Visakhapatnam,2021,Kharif,Rice,9473.97,714.72,34.78,55.63,77.1,176.92,1.99
Srikakulam,2023,Kharif,Sugarcane,6213.19,1274.77,32.77,65.92,69.92,189.58,3.03
Nellore,2022,Kharif,Rice,9003.24,912.82,34.91,67.39,65.59,137.69,2.08
Anantapur,2020,Kharif,Maize,7683.37,589.35,36.56,50.56,42.21,130.65,0.72
Chittoor,2023,Kharif,Cotton,5923.7,638.79,36.77,88.2,93.12,111.02,1.77
East Godavari,2024,Kharif,Chili,1226.16,1679.02,28.28,81.23,53.25,103.0,3.64
Anantapur,2024,Rabi,Sugarcane,5239.6,561.51,38.48,80.12,57.99,184.49,1.22
West Godavari,2020,Kharif,Chili,8335.19,1188.33,28.43,70.52,59.09,196.36,2.34
Anantapur,2021,Rabi,Pulses,2767.28,771.16,33.18,74.14,67.69,176.09,1.24
West Godavari,2024,Kharif,Rice,9868.82,1788.42,29.0,85.51,69.61,134.06,2.72
Prakasam,2023,Kharif,Chili,8282.76,543.39,36.79,53.07,62.29,171.41,0.78
Visakhapatnam,2021,Rabi,Tobacco,3643.87,1219.34,33.62,71.58,50.13,116.17,1.64
Nellore,2024,Rabi,Cotton,1639.0,753.05,31.22,66.53,35.31,165.84,1.42
Anantapur,2021,Rabi,Chili,4172.45,483.83,36.95,74.5,30.19,80.47,0.17
Kadapa,2022,Rabi,Pulses,2588.36,591.62,28.65,84.26,64.76,86.77,0.75
Kurnool,2020,Rabi,Chili,8933.12,1038.65,37.96,80.24,64.55,100.1,1.0
East Godavari,2020,Kharif,Sugarcane,5927.41,1672.93,26.72,87.14,97.27,173.45,5.07
Anantapur,2020,Rabi,Cotton,4301.28,726.91,35.6,55.64,53.94,176.89,0.56
East Godavari,2020,Kharif,Maize,3677.3,1806.35,29.11,71.04,65.24,192.29,3.23
Krishna,2021,Kharif,Pulses,3481.44,1001.58,33.57,51.38,75.02,112.16,4.2
Kurnool,2022,Kharif,Rice,7314.92,578.39,33.34,84.02,66.12,173.86,1.57
East Godavari,2021,Kharif,Chili,5423.7,1746.54,25.86,67.85,33.0,126.05,1.27
Guntur,2023,Kharif,Maize,4206.75,1290.5,27.75,74.47,91.03,111.59,4.1
Anantapur,2023,Kharif,Groundnut,6576.69,789.81,34.95,83.2,92.51,124.99,1.43
Krishna,2020,Rabi,Groundnut,2408.44,1524.64,29.17,64.76,56.12,100.24,2.65
Chittoor,2022,Kharif,Cotton,3318.21,624.9,37.66,59.87,42.62,87.81,1.18
Anantapur,2023,Rabi,Maize,7927.45,537.1,32.53,54.99,76.14,150.4,0.91
Anantapur,2023,Rabi,Chili,7742.61,444.57,39.0,52.33,88.92,134.28,1.3
Kadapa,2021,Rabi,Maize,7647.27,457.22,28.0,87.22,52.16,168.15,1.07
Kurnool,2023,Kharif,Groundnut,9766.58,544.77,31.63,56.28,53.5,129.28,0.94
Kadapa,2023,Rabi,Maize,9370.98,666.09,33.07,71.39,38.5,188.5,0.55
West Godavari,2023,Rabi,Pulses,1823.47,1165.65,24.77,64.86,38.41,84.08,1.34
East Godavari,2023,Rabi,Chili,5120.32,1690.61,29.54,68.93,34.18,94.88,1.7
Guntur,2023,Rabi,Rice,4541.19,1019.92,27.45,67.37,92.49,150.14,2.28
Krishna,2022,Rabi,Tobacco,6449.23,1334.41,25.77,79.52,70.95,130.8,2.64
Vizianagaram,2022,Rabi,Rice,9731.82,779.03,29.65,77.56,63.13,191.79,1.59
East Godavari,2020,Rabi,Rice,5745.05,1584.89,29.22,68.72,97.36,84.46,4.5
Nellore,2022,Kharif,Groundnut,5019.89,1126.56,31.28,66.68,37.31,136.11,1.58
Guntur,2023,Rabi,Sugarcane,3837.75,858.55,35.88,55.38,59.92,196.37,2.21
West Godavari,2023,Kharif,Groundnut,654.18,1193.73,25.74,60.96,57.61,82.2,2.32
Visakhapatnam,2024,Rabi,Cotton,3815.18,1046.35,29.59,80.68,53.15,94.28,1.4
Krishna,2024,Rabi,Chili,1990.9,1063.35,33.79,73.47,37.09,199.94,1.88
Guntur,2022,Kharif,Tobacco,2361.81,1234.07,34.09,77.3,33.55,118.77,1.2
Vizianagaram,2020,Rabi,Tobacco,2789.46,801.43,24.06,63.03,42.79,177.98,1.45
Guntur,2024,Kharif,Cotton,2178.67,1160.26,28.0,53.46,87.13,154.07,3.85
Prakasam,2021,Rabi,Rice,3481.52,1023.83,34.49,88.06,91.15,122.97,2.54
Krishna,2022,Rabi,Tobacco,3749.14,1518.98,27.49,79.18,91.03,188.44,3.96
Srikakulam,2022,Kharif,Chili,1735.12,891.09,30.96,77.97,52.27,92.81,2.63
Krishna,2020,Rabi,Maize,3652.11,1405.29,33.28,52.8,58.02,155.43,2.48
Srikakulam,2021,Rabi,Chili,4434.0,1326.67,28.39,52.93,74.88,95.43,2.74
Vizianagaram,2022,Kharif,Groundnut,6470.99,788.22,27.96,76.88,54.42,136.04,2.06
Guntur,2024,Rabi,Chili,4838.07,1186.77,27.24,88.38,35.65,81.29,0.86
Guntur,2021,Kharif,Groundnut,9546.7,1116.91,33.15,86.61,61.31,194.67,2.14
Prakasam,2023,Kharif,Sugarcane,6131.65,926.58,29.53,64.18,74.82,114.34,1.96
Krishna,2024,Kharif,Rice,9198.73,1050.96,33.5,65.98,56.68,162.15,2.1
Nellore,2024,Kharif,Groundnut,1847.24,1061.17,29.75,77.72,44.94,128.11,1.58
Nellore,2024,Kharif,Sugarcane,5088.14,865.07,34.12,56.1,92.11,199.34,3.1
Anantapur,2021,Kharif,Groundnut,5847.84,457.57,38.45,79.32,71.56,156.32,0.58
Krishna,2020,Rabi,Chili,9293.61,1023.24,26.7,64.02,72.04,157.06,2.86
Visakhapatnam,2021,Kharif,Groundnut,3791.13,1321.93,25.35,60.51,76.83,150.54,2.54
Guntur,2020,Kharif,Pulses,2407.87,888.8,33.37,55.28,49.19,115.77,2.11
East Godavari,2020,Kharif,Sugarcane,3741.63,1935.12,26.85,56.84,43.83,184.53,2.04
Chittoor,2020,Rabi,Cotton,1819.48,775.74,35.34,58.86,32.4,151.46,0.81
Visakhapatnam,2020,Rabi,Tobacco,3427.48,1494.34,34.86,61.24,60.05,188.9,2.33
Kurnool,2020,Rabi,Maize,9915.81,540.1,37.93,80.79,34.66,106.31,0.71
Vizianagaram,2020,Rabi,Pulses,8442.72,722.79,32.04,72.98,83.11,189.31,3.02
West Godavari,2020,Kharif,Pulses,3840.5,1567.59,26.33,56.08,63.19,191.46,2.69
Srikakulam,2023,Kharif,Tobacco,5714.29,818.74,27.2,85.49,40.46,166.14,1.63
Nellore,2024,Rabi,Maize,1574.34,1279.99,28.92,79.05,93.11,199.04,3.0
Vizianagaram,2020,Rabi,Sugarcane,3605.75,1089.0,24.43,54.91,63.88,194.68,2.69
Kurnool,2022,Rabi,Tobacco,8531.68,715.35,35.51,80.92,75.7,181.33,1.66
Chittoor,2023,Kharif,Maize,7494.5,890.27,37.61,61.7,79.88,135.44,2.55
Krishna,2023,Rabi,Maize,9150.26,1443.92,30.51,77.39,69.44,184.13,4.28
East Godavari,2021,Rabi,Sugarcane,8785.67,1249.57,25.29,69.89,66.62,91.38,3.12
Vizianagaram,2022,Kharif,Sugarcane,5821.45,1345.07,34.98,55.08,58.06,136.33,1.67
Guntur,2023,Kharif,Chili,3934.17,1106.19,33.97,52.32,69.15,116.35,2.9
Nellore,2021,Kharif,Rice,8113.08,927.29,26.39,75.59,65.68,141.22,1.98
Chittoor,2022,Kharif,Rice,3997.64,822.92,31.59,55.92,36.13,95.21,0.45
Srikakulam,2022,Rabi,Cotton,5596.13,1258.99,31.98,89.07,97.01,118.93,3.77
Anantapur,2020,Kharif,Chili,7551.75,792.53,33.47,58.95,51.63,185.45,0.87
East Godavari,2021,Kharif,Chili,4648.27,1530.33,27.66,71.7,43.24,140.32,1.92
East Godavari,2021,Rabi,Rice,3877.57,1991.81,26.13,70.38,73.09,146.35,5.08
Visakhapatnam,2022,Kharif,Chili,9604.11,860.51,33.31,59.15,99.04,142.2,4.13
Chittoor,2023,Rabi,Groundnut,1194.99,973.69,26.27,62.61,75.32,184.32,1.93
Krishna,2022,Kharif,Rice,4640.75,924.64,29.58,66.91,70.57,188.19,3.05
Srikakulam,2022,Rabi,Tobacco,2865.88,1493.16,26.8,73.79,78.28,150.78,3.19
Srikakulam,2022,Kharif,Tobacco,6493.44,871.9,32.84,85.54,90.36,116.42,4.71
Anantapur,2024,Rabi,Chili,9610.33,326.97,31.4,60.97,79.36,99.07,1.5
Srikakulam,2022,Rabi,Tobacco,9024.72,1050.88,27.78,63.18,37.79,93.69,1.54
Nellore,2021,Rabi,Pulses,8733.68,815.94,26.95,59.8,51.51,161.78,1.27
Krishna,2023,Kharif,Tobacco,8936.85,1153.1,25.77,88.56,68.48,156.49,4.21
Vizianagaram,2024,Kharif,Cotton,8394.32,933.04,32.61,62.37,42.2,143.23,1.89
Chittoor,2021,Kharif,Maize,4979.17,682.97,33.1,78.01,42.32,128.8,1.17
Chittoor,2023,Kharif,Pulses,9645.07,549.83,26.56,51.22,56.39,101.76,1.2
Krishna,2024,Kharif,Pulses,7724.98,1283.41,29.42,50.21,88.13,111.56,5.24
Kurnool,2024,Rabi,Tobacco,925.34,590.7,30.78,89.24,56.06,147.95,1.55
Visakhapatnam,2022,Rabi,Chili,3508.62,981.86,30.56,54.93,33.59,173.97,1.42
Kadapa,2023,Rabi,Cotton,1523.71,982.38,29.7,50.93,76.61,95.15,1.3
Visakhapatnam,2020,Kharif,Maize,6245.92,1305.87,33.2,79.2,67.64,185.46,2.25
East Godavari,2020,Kharif,Chili,7933.02,1107.34,27.94,61.99,90.93,96.93,3.72
Guntur,2022,Rabi,Maize,4176.43,1096.55,35.64,83.81,48.83,185.84,2.07
Kadapa,2020,Kharif,Maize,7893.73,909.15,35.24,82.18,57.73,131.78,0.85
Srikakulam,2021,Rabi,Chili,7649.93,1470.58,30.38,70.77,73.68,91.83,3.73
East Godavari,2021,Rabi,Cotton,5888.68,1184.87,25.0,59.0,30.49,117.74,1.81
Vizianagaram,2024,Rabi,Sugarcane,9812.4,882.98,27.36,60.53,95.82,137.43,3.39
Kurnool,2023,Kharif,Cotton,7317.16,943.61,30.63,83.5,66.9,95.91,1.2
East Godavari,2023,Rabi,Maize,638.93,1027.07,28.09,74.42,68.36,177.24,3.92
Nellore,2022,Rabi,Cotton,2557.72,887.11,35.76,78.1,61.09,147.1,2.42
East Godavari,2024,Kharif,Maize,2925.42,1215.38,33.11,61.14,39.77,126.29,2.5
Guntur,2024,Rabi,Chili,3350.38,1290.47,30.02,61.79,52.8,128.96,2.4
Visakhapatnam,2024,Rabi,Pulses,5027.81,811.02,32.78,58.72,98.85,192.81,4.02
Srikakulam,2023,Kharif,Sugarcane,7053.0,1258.74,27.23,79.69,93.11,142.97,5.01
Visakhapatnam,2021,Rabi,Cotton,1118.44,1311.26,25.94,65.21,55.6,157.85,1.57
Srikakulam,2024,Rabi,Maize,2246.1,1553.73,30.42,83.11,37.09,96.76,1.89
Srikakulam,2022,Kharif,Cotton,5750.51,855.65,25.38,72.71,97.55,85.46,3.62
Prakasam,2022,Rabi,Groundnut,3989.47,1071.64,30.0,73.99,41.15,194.02,0.82
Chittoor,2024,Kharif,Sugarcane,1236.39,755.99,34.41,89.26,93.99,184.96,2.03
Anantapur,2024,Kharif,Groundnut,1817.63,547.11,31.58,75.27,81.15,96.85,0.7
Kadapa,2024,Kharif,Pulses,926.11,788.94,28.66,78.15,77.63,134.47,1.7
West Godavari,2024,Kharif,Tobacco,3138.4,1508.8,24.09,78.99,81.79,114.4,3.87
Nellore,2022,Kharif,Sugarcane,1090.83,1061.45,34.01,70.29,89.19,149.85,3.48
Srikakulam,2022,Rabi,Groundnut,9698.33,1425.48,32.4,76.94,53.54,87.09,2.22
East Godavari,2022,Rabi,Tobacco,6866.14,1810.35,29.23,61.62,65.4,172.45,3.73
Srikakulam,2020,Kharif,Sugarcane,9364.93,1168.97,25.69,75.7,35.18,195.35,1.43
Srikakulam,2024,Rabi,Pulses,8426.67,808.46,29.56,52.45,42.38,115.95,2.06
Nellore,2024,Rabi,Cotton,2616.53,946.65,33.75,71.08,81.09,161.31,3.04
Kadapa,2023,Rabi,Rice,3773.82,472.4,27.83,75.67,78.93,199.59,2.13
Kurnool,2022,Kharif,Maize,2137.99,769.69,32.47,69.22,68.9,190.47,0.85
West Godavari,2023,Kharif,Cotton,6594.94,1327.69,28.7,59.39,58.0,125.65,3.2
Krishna,2024,Rabi,Cotton,8620.23,1209.98,31.62,59.25,58.1,143.73,2.42
Anantapur,2022,Rabi,Pulses,9354.83,780.27,29.31,79.1,61.19,169.91,0.6
Kadapa,2020,Rabi,Maize,8510.65,930.91,33.3,73.49,48.78,111.55,0.59
Kurnool,2020,Kharif,Sugarcane,5190.46,1180.71,30.19,77.53,92.52,149.46,1.55
Srikakulam,2021,Kharif,Sugarcane,1133.7,1263.13,28.24,77.86,31.94,91.86,1.77
Krishna,2022,Rabi,Groundnut,3709.64,1165.35,26.36,88.62,78.58,192.49,3.92
Visakhapatnam,2021,Kharif,Tobacco,1470.21,1061.88,29.57,86.2,71.08,135.15,1.77
Prakasam,2022,Kharif,Maize,6227.05,653.25,28.97,57.37,78.54,119.68,1.61
West Godavari,2021,Kharif,Pulses,3411.64,1773.98,30.78,68.79,47.75,138.18,2.0
Nellore,2023,Rabi,Tobacco,2395.62,894.1,34.13,82.66,41.45,175.33,1.84
Nellore,2021,Kharif,Cotton,7292.16,1133.93,31.45,55.21,93.67,133.82,2.48
Nellore,2022,Rabi,Cotton,6458.92,819.37,34.43,52.99,36.6,88.72,1.2
Krishna,2024,Rabi,Tobacco,5277.74,1215.12,29.81,67.07,46.13,127.08,2.75
Chittoor,2021,Kharif,Pulses,7022.41,556.95,28.33,79.39,34.55,103.43,0.84
West Godavari,2024,Rabi,Maize,2690.56,1253.42,27.15,83.06,83.39,117.35,3.74
Krishna,2023,Rabi,Cotton,7869.18,1038.01,31.06,82.46,46.32,102.86,2.07
Krishna,2020,Rabi,Groundnut,1237.48,1025.31,33.99,89.01,94.47,182.19,6.09
Kurnool,2024,Kharif,Rice,7976.11,882.28,33.57,84.9,77.71,86.44,2.02
Kurnool,2021,Rabi,Chili,9300.94,935.0,29.57,58.8,66.36,96.82,1.9
Prakasam,2024,Rabi,Rice,2247.0,1051.36,27.72,65.25,36.0,130.52,1.1
Visakhapatnam,2024,Kharif,Groundnut,7875.13,914.72,26.67,67.83,56.05,192.63,1.95
Prakasam,2020,Kharif,Rice,642.26,452.39,30.46,69.14,74.26,141.9,1.6
Prakasam,2024,Rabi,Sugarcane,794.06,844.97,34.66,51.17,76.61,139.18,1.72
Krishna,2021,Kharif,Groundnut,3974.45,1549.53,28.92,85.64,63.98,86.6,4.36
Krishna,2023,Kharif,Rice,1364.59,1476.77,25.56,56.1,65.98,113.95,3.72
Guntur,2022,Kharif,Tobacco,997.04,846.97,34.25,65.75,34.75,158.73,1.12
Guntur,2021,Kharif,Tobacco,7740.36,1400.65,27.55,51.77,36.51,189.46,1.42
East Godavari,2022,Rabi,Rice,6711.61,1418.24,32.7,56.58,84.0,106.66,5.7
Visakhapatnam,2021,Rabi,Pulses,3706.13,1477.92,26.69,68.09,63.06,167.12,2.88
Prakasam,2021,Kharif,Cotton,4750.48,881.16,28.12,83.21,64.04,82.67,1.05
Chittoor,2020,Kharif,Chili,2102.53,851.98,37.68,75.0,61.4,170.8,0.93
Chittoor,2023,Kharif,Tobacco,7096.24,740.4,34.9,60.43,70.88,116.65,2.31
Srikakulam,2024,Kharif,Rice,5074.46,1033.34,25.69,81.31,48.21,155.34,2.62
Srikakulam,2021,Kharif,Tobacco,6664.6,1688.79,31.75,68.22,84.04,106.38,3.59
Anantapur,2021,Rabi,Rice,1311.46,604.4,34.02,56.24,94.09,145.56,2.04
Kadapa,2023,Rabi,Groundnut,5921.48,459.11,37.16,70.13,53.71,198.05,0.68
Guntur,2020,Rabi,Rice,1410.32,1444.01,34.88,56.25,81.32,147.39,3.13
Vizianagaram,2024,Kharif,Groundnut,669.22,1079.39,33.42,59.69,50.48,100.78,1.78
East Godavari,2020,Rabi,Cotton,1682.04,1597.54,30.21,56.02,78.71,118.06,4.57
Kadapa,2020,Rabi,Pulses,6577.0,945.99,27.28,54.63,43.36,154.07,0.92
Prakasam,2020,Kharif,Chili,9057.85,1090.68,32.64,72.08,51.82,125.78,1.58
Guntur,2021,Kharif,Pulses,5482.78,1245.38,27.19,72.88,99.36,193.47,4.06
Visakhapatnam,2024,Kharif,Rice,4867.33,835.75,31.1,60.29,96.34,92.33,3.5
Kurnool,2023,Kharif,Chili,3522.33,965.38,34.45,56.59,79.81,90.26,2.63
Nellore,2024,Rabi,Pulses,5208.27,1070.99,26.49,68.7,80.32,184.42,2.19
Chittoor,2024,Rabi,Rice,2604.48,949.3,34.11,65.41,77.91,193.83,1.43
West Godavari,2020,Rabi,Groundnut,9773.9,1094.61,27.27,75.43,95.45,94.38,4.47
Visakhapatnam,2024,Kharif,Chili,8324.25,919.36,34.52,59.85,65.37,174.71,1.52
Visakhapatnam,2023,Rabi,Pulses,3170.34,1397.18,33.88,74.94,65.18,166.68,2.03
Vizianagaram,2020,Kharif,Rice,9981.23,894.52,26.7,82.16,82.06,180.23,3.03
Chittoor,2024,Rabi,Tobacco,7841.49,460.31,33.83,71.42,71.17,148.98,1.59
Nellore,2024,Rabi,Cotton,611.46,1144.1,30.11,79.0,89.38,179.44,2.28
Krishna,2021,Rabi,Groundnut,6329.85,1215.71,31.33,64.56,65.61,108.06,3.68
Guntur,2021,Rabi,Maize,5991.44,1305.85,31.32,58.05,57.69,162.93,1.43
Chittoor,2023,Rabi,Pulses,1837.03,661.08,26.11,58.58,73.3,186.12,2.46
Vizianagaram,2021,Rabi,Tobacco,7118.52,1121.58,29.11,85.86,77.62,142.89,2.77
West Godavari,2024,Kharif,Maize,5494.04,1477.51,27.52,87.12,82.56,123.99,4.64
